GLOBAL;jour_ferie.;pont.conge.;holiday;Semaine;Annee;Temp;pluie;autre;Greve_nationale;prof_nationale;Total_reservations;jour_jeudi;jour_lundi;jour_mardi;jour_mercredi;jour_vendredi
240;0;0;0;36;2022;20;3.1;1;0;0;203;False;True;False;False;False
542;0;0;0;36;2022;17;0.4;0;0;0;257;False;False;True;False;False
657;0;0;0;36;2022;17;0.5;1;0;0;220;False;False;False;True;False
607;0;0;0;36;2022;15;0.4;1;0;0;181;True;False;False;False;False
461;0;0;0;36;2022;15;0.4;1;0;0;149;False;False;False;False;True
612;0;0;0;37;2022;16;0.0;0;0;0;208;False;True;False;False;False
682;0;0;0;37;2022;22;0.1;0;0;0;271;False;False;True;False;False
649;0;0;0;37;2022;18;3.5;0;0;0;241;False;False;False;True;False
653;0;0;0;37;2022;18;0.3;0;0;0;258;True;False;False;False;False
422;0;0;0;37;2022;14;0.0;0;0;0;134;False;False;False;False;True
569;0;0;0;38;2022;11;0.0;0;0;0;175;False;True;False;False;False
652;0;0;0;38;2022;10;0.0;1;0;0;251;False;False;True;False;False
630;0;0;0;38;2022;11;0.0;0;0;0;228;False;False;False;True;False
618;0;0;0;38;2022;11;0.0;0;0;0;272;True;False;False;False;False
410;0;0;0;38;2022;12;0.0;0;0;0;127;False;False;False;False;True
565;0;0;0;39;2022;13;1.7;0;0;0;174;False;True;False;False;False
657;0;0;0;39;2022;9;0.4;0;0;0;274;False;False;True;False;False
665;0;0;0;39;2022;12;0.4;0;0;0;257;False;False;False;True;False
602;0;0;0;39;2022;11;0.5;0;1;1;259;True;False;False;False;False
455;0;0;0;39;2022;9;0.0;0;0;0;172;False;False;False;False;True
458;0;0;0;40;2022;13;0.0;0;0;0;215;False;True;False;False;False
380;0;0;0;40;2022;14;0.0;0;0;0;261;False;False;True;False;False
625;0;0;0;40;2022;14;0.0;0;0;0;266;False;False;False;True;False
689;0;0;0;40;2022;12;0.0;0;1;1;238;True;False;False;False;False
434;0;0;0;40;2022;11;0.0;0;0;0;124;False;False;False;False;True
562;0;0;0;41;2022;12;0.0;0;0;0;198;False;True;False;False;False
695;0;0;0;41;2022;12;0.0;0;0;0;259;False;False;True;False;False
608;0;0;0;41;2022;9;0.0;0;0;0;198;False;False;False;True;False
617;0;0;0;41;2022;12;0.1;0;0;0;232;True;False;False;False;False
395;0;0;0;41;2022;14;0.5;0;0;0;147;False;False;False;False;True
579;0;0;0;42;2022;16;0.2;0;0;0;232;False;True;False;False;False
549;0;0;0;42;2022;15;1.5;1;0;0;230;False;False;True;False;False
682;0;0;0;42;2022;15;0.0;0;0;0;302;False;False;False;True;False
654;0;0;0;42;2022;17;3.6;0;0;0;285;True;False;False;False;False
417;0;0;0;42;2022;16;1.5;0;0;0;159;False;False;False;False;True
532;0;0;0;43;2022;16;0.0;0;0;0;172;False;True;False;False;False
621;0;0;0;43;2022;15;0.0;0;0;0;218;False;False;True;False;False
617;0;0;0;43;2022;17;0.0;0;0;0;224;False;False;False;True;False
585;0;0;0;43;2022;17;0.0;0;1;1;228;True;False;False;False;False
385;0;0;0;43;2022;19;0.0;0;0;0;93;False;False;False;False;True
605;0;0;0;47;2022;7;0.9;0;0;0;208;False;True;False;False;False
745;0;0;0;47;2022;6;0.3;0;0;0;327;False;False;True;False;False
682;0;0;0;47;2022;7;0.3;0;0;0;297;False;False;False;True;False
692;0;0;0;47;2022;8;0.0;0;0;0;261;True;False;False;False;False
451;0;0;0;47;2022;8;0.6;0;0;0;160;False;False;False;False;True
597;0;0;0;48;2022;9;0.9;0;0;0;246;False;True;False;False;False
751;0;0;0;48;2022;8;0.0;0;0;0;291;False;False;True;False;False
714;0;0;0;48;2022;5;0.0;0;0;0;235;False;False;False;True;False
764;0;0;0;48;2022;5;0.0;0;0;0;269;True;False;False;False;False
619;0;0;0;48;2022;4;0.0;0;0;0;130;False;False;False;False;True
718;0;0;0;49;2022;3;0.3;0;0;0;229;False;True;False;False;False
723;0;0;0;49;2022;3;0.0;0;0;0;324;False;False;True;False;False
689;0;0;0;49;2022;3;0.0;0;0;0;258;False;False;False;True;False
690;0;0;0;49;2022;2;0.0;0;0;0;331;True;False;False;False;False
506;0;0;0;49;2022;0;0.0;0;0;0;217;False;False;False;False;True
660;0;0;0;50;2022;-1;0.0;0;0;0;309;False;True;False;False;False
766;0;0;0;50;2022;-2;0.0;0;0;0;317;False;False;True;False;False
636;0;0;0;50;2022;2;0.8;0;0;0;244;False;False;False;True;False
697;0;0;0;50;2022;-1;0.1;0;0;0;285;True;False;False;False;False
441;0;0;0;50;2022;-1;0.0;0;0;0;133;False;False;False;False;True
493;0;0;0;51;2022;6;0.2;0;0;0;133;False;True;False;False;False
555;0;0;0;51;2022;10;0.4;0;0;0;150;False;False;True;False;False
461;0;0;0;51;2022;8;3.5;0;0;0;137;False;False;False;True;False
383;0;0;0;51;2022;10;1.1;0;0;0;106;True;False;False;False;False
198;0;0;0;51;2022;14;1.0;0;0;0;30;False;False;False;False;True
717;0;0;0;1;2023;11;6.1;0;0;0;114;False;True;False;False;False
934;0;0;0;1;2023;6;0.0;0;0;0;214;False;False;True;False;False
820;0;0;0;1;2023;9;0.0;0;0;0;215;False;False;False;True;False
909;0;0;0;1;2023;12;0.1;0;0;0;224;True;False;False;False;False
899;0;0;0;1;2023;11;0.2;0;0;0;116;False;False;False;False;True
673;0;0;0;2;2023;7;1.2;0;0;0;254;False;True;False;False;False
791;0;0;0;2;2023;6;1.8;0;0;0;306;False;False;True;False;False
718;0;0;0;2;2023;11;0.5;0;0;0;277;False;False;False;True;False
748;0;0;0;2;2023;9;0.7;0;0;0;252;True;False;False;False;False
494;0;0;0;2;2023;9;1.8;0;0;0;126;False;False;False;False;True
662;0;0;0;3;2023;6;4.9;0;0;0;251;False;True;False;False;False
806;0;0;0;3;2023;3;0.4;1;0;0;310;False;False;True;False;False
756;0;0;0;3;2023;1;0.0;0;0;0;292;False;False;False;True;False
339;0;0;0;3;2023;1;0.0;0;1;1;109;True;False;False;False;False
462;0;0;0;3;2023;0;0.0;0;0;0;137;False;False;False;False;True
520;0;0;0;4;2023;2;0.0;0;0;0;262;False;True;False;False;False
592;0;0;0;4;2023;0;0.0;0;0;0;283;False;False;True;False;False
589;0;0;0;4;2023;0;0.0;0;0;0;298;False;False;False;True;False
571;0;0;0;4;2023;2;1.5;0;0;0;255;True;False;False;False;False
383;0;0;0;4;2023;3;0.0;0;0;0;153;False;False;False;False;True
523;0;0;0;5;2023;5;0.2;0;0;0;278;False;True;False;False;False
324;0;0;0;5;2023;2;0.0;0;1;1;151;False;False;True;False;False
561;0;0;0;5;2023;7;0.8;0;0;0;241;False;False;False;True;False
533;0;0;0;5;2023;5;0.0;1;0;0;210;True;False;False;False;False
426;0;0;0;5;2023;8;0.0;0;0;0;204;False;False;False;False;True
553;0;0;0;6;2023;3;0.0;0;0;0;265;False;True;False;False;False
381;0;0;0;6;2023;2;0.0;0;1;1;178;False;False;True;False;False
644;0;0;0;6;2023;0;0.0;0;0;0;288;False;False;False;True;False
628;0;0;0;6;2023;-1;0.0;0;0;0;302;True;False;False;False;False
